date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-10,CDUAF,Canadian Utilities Limited,Utilities,Utilities - Diversified,36.88,25.96,40.95,42.08,-9.95,3.58,335.27,10043552768.0,2026-08-12T00:08:46.369510+00:00
2026-08-11,UVV,Universal Corporation,Consumer Defensive,Tobacco,46.22,46.2,57.51,0.04,-19.64,7.0,60.82,1150843648.0,2026-08-12T00:08:46.967458+00:00
2026-08-11,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,138.41,133.4,168.19,3.75,-17.71,4.3,18.14,189068066816.0,2026-08-12T00:08:31.044086+00:00
2026-08-11,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,145.21,134.62,164.77,7.86,-11.87,2.97,21.94,338135875584.0,2026-08-12T00:08:41.658431+00:00
2026-08-11,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,82.25,74.64,96.03,10.2,-14.35,2.71,11.46,7817459200.0,2026-08-12T00:08:25.282574+00:00
2026-08-11,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,66.32,59.89,91.93,10.74,-27.86,1.79,63.77,1130709888.0,2026-08-12T00:08:47.585967+00:00
2026-08-11,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,221.25,199.4,289.87,10.96,-23.67,2.28,18.72,124121251840.0,2026-08-12T00:08:22.905075+00:00
2026-08-11,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,408.69,359.36,543.27,13.73,-24.77,94.0,24.86,120481816576.0,2026-08-12T00:08:38.440572+00:00
2026-08-11,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,107.5,92.96,115.26,15.64,-6.74,3.3,17.68,39756578816.0,2026-08-12T00:08:37.183901+00:00
2026-08-11,FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,56.07,47.84,59.4,17.2,-5.61,3.33,22.98,28646162432.0,2026-08-12T00:08:37.839053+00:00
2026-08-11,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,173.21,146.32,194.81,18.38,-11.09,2.16,8.17,26583932928.0,2026-08-12T00:08:44.008299+00:00
